...1,umpd_case_number,occured_date_time_location,report_date_time,type,disposition,location,date,time,year,time_hour
2527,2015-00007066,02/15/15 23:13,02/16/15 13:46,Other Incident,CBE,8000 block of  Boteler  Ln,2015-02-15,23:13,2015,23
2528,2015-00007067,02/16/15 13:55,02/16/15 13:55,Damage to State Property,CBE,Animal Science Building at 8127  Regents  Dr,2015-02-16,13:55,2015,13
2529,2015-00007085,02/16/15 17:00,02/16/15 18:31,Damage to State Property,CBE,"Journalism Building, Knight Hall at 7765  Alumni  Dr",2015-02-16,17:00,2015,17
2530,2015-00007088,02/16/15 20:29,02/16/15 20:29,Dept Property Damage/Loss,CBE,Microbiology Building at 4062  Campus  Dr,2015-02-16,20:29,2015,20
2531,2015-00007092,02/16/15 22:26,02/16/15 22:26,Emergency Petition,CBE,64  Campus  Dr,2015-02-16,22:26,2015,22
2532,2015-00007111,02/17/15 08:30,02/17/15 08:50,Damage to State Property,CBE,7  Baltimore  Ave,2015-02-17,08:30,2015,08
2533,2015-00007117,02/17/15 13:12,02/17/15 13:12,Injured/Sick Person,CBE,"Eppley Recreation Center, ERC at 4128  Valley  Dr",2015-02-17,13:12,2015,13
2534,2015-00007123,02/17/15 15:08,02/17/15 15:08,Injured/Sick Person,CBE,"Eppley Recreation Center, ERC at 4128  Valley  Dr",2015-02-17,15:08,2015,15
2535,2015-00007140,02/17/15 12:42,02/17/15 17:22,Telephone/EMail Misuse (Title IX Related),CBE,"Comcast Center, Xfinity Center at 8500  Paint Branch  Dr",2015-02-17,12:42,2015,12
2536,2015-00007179,02/18/15 00:44,02/18/15 00:44,DWI/DUI,Arrest,Baltimore  Ave,2015-02-18,00:44,2015,00
2537,2015-00007188,02/18/15 02:18,02/18/15 02:18,Injured/Sick Person,CBE,Oakland Hall at 3912  Denton Service  Ln,2015-02-18,02:18,2015,02
2538,2015-00007229,02/18/15 10:02,02/18/15 10:02,Injured/Sick Person,CBE,Centreville Hall at 4243  Valley  Dr,2015-02-18,10:02,2015,10
2539,2015-00007243,02/13/15 14:30,02/18/15 12:43,Theft,Active/Pending,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200  Valley  Dr",2015-02-13,14:30,2015,14
2540,2015-00007276,02/18/15 17:17,02/18/15 17:17,Disorderly Conduct,CBE,Hornbake Library at 4130  Campus  Dr,2015-02-18,17:17,2015,17
2541,2015-00007300,02/18/15 21:06,02/18/15 21:06,Injured/Sick Person,CBE,"Eppley Recreation Center, ERC at 4128  Valley  Dr",2015-02-18,21:06,2015,21
2542,2015-00007313,02/18/15 22:25,02/18/15 22:25,CDS Violation,Arrest,Carroll Hall at 7284  Preinkert  Dr,2015-02-18,22:25,2015,22
2543,2015-00007414,12/20/14 16:00,02/19/15 17:36,Theft,Active/Pending,"Leonardtown #239, Leonardtown at 4610  Norwich  Rd",2014-12-20,16:00,2014,16
2544,2015-00007426,02/19/15 19:32,02/19/15 19:32,Injured/Sick Person,CBE,Hagerstown Hall at 4000  Stadium  Dr,2015-02-19,19:32,2015,19
2545,2015-00007497,02/20/15 00:33,02/20/15 00:33,CDS Violation,Arrest,Baltimore  Ave,2015-02-20,00:33,2015,00
2546,2015-00007513,02/20/15 01:34,02/20/15 01:34,Warrant/Summons Service,Arrest,Knox  Rd,2015-02-20,01:34,2015,01
2547,2015-00007545,02/20/15 08:55,02/20/15 08:55,Alarm,CBE,"Physical Sciences Complex, PSC at 4296  Stadium  Dr",2015-02-20,08:55,2015,08
2548,2015-00007549,02/20/15 03:30,02/20/15 10:46,Suspicious Activity,CBE,Alpha Delta Pi Sorority at 4535  College  Ave,2015-02-20,03:30,2015,03
2549,2015-00007633,02/20/15 23:50,02/20/15 23:52,Injured/Sick Person,CBE,"Frat 5, Phi Kappa Tau Fraternity at 5  Fraternity  Row",2015-02-20,23:50,2015,23
2550,2015-00007645,02/21/15 00:46,02/21/15 00:46,Injured/Sick Person,CBE,Calvert Hall at 7551  Calvert Service  Ln,2015-02-21,00:46,2015,00
2551,2015-00007646,02/21/15 00:51,02/21/15 00:51,DWI/DUI,Arrest,Easton Hall at 3917  Denton Service  Ln,2015-02-21,00:51,2015,00
2552,2015-00007714,02/21/15 18:41,02/21/15 18:41,Injured/Sick Person,CBE,Somerset Hall at 7567  Preinkert  Dr,2015-02-21,18:41,2015,18
2553,2015-00007718,02/21/15 19:50,02/21/15 19:50,Recovered Stolen Motor Vehicle,Arrest,Chapel  Dr,2015-02-21,19:50,2015,19
2554,2015-00007764,02/22/15 10:30,02/22/15 11:19,CDS Violation,Active/Pending,250 block of  Denton  Dr,2015-02-22,10:30,2015,10
2555,2015-00007818,02/22/15 18:45,02/22/15 18:51,Damage to State Property,CBE,Carroll Hall at 7284  Preinkert  Dr,2015-02-22,18:45,2015,18
2556,2015-00007819,02/22/15 20:25,02/22/15 20:25,Injured/Sick Person,CBE,Health Center at 3983  Campus  Dr,2015-02-22,20:25,2015,20
2557,2015-00007869,02/23/15 04:53,02/23/15 04:53,Injured/Sick Person,CBE,"Armory, Reckord Armory at 4490  Rossborough  Ln",2015-02-23,04:53,2015,04
2558,2015-00007870,02/23/15 05:00,02/23/15 05:18,CDS Violation,Active/Pending,6900 block of  Wake Forest  Dr,2015-02-23,05:00,2015,05
2559,2015-00007890,02/20/15 15:45,02/23/15 09:22,Vandalism,Active/Pending,Commons 2 at 7524  Calvert Service  Ln,2015-02-20,15:45,2015,15
2560,2015-00007893,02/19/15 15:00,02/23/15 09:30,Burglary,Active/Pending,Jimenez Hall at 4125 N Library  Ln,2015-02-19,15:00,2015,15
2561,2015-00007894,02/20/15 15:00,02/23/15 09:39,Vandalism,Active/Pending,Commons 3 at 4318  Knox  Rd,2015-02-20,15:00,2015,15
2562,2015-00007954,02/23/15 12:00,02/23/15 16:43,Vandalism,Active/Pending,Lot XX1,2015-02-23,12:00,2015,12
2563,2015-00007958,02/20/15 12:00,02/23/15 17:16,Theft,Active/Pending,"Lot 19, Lot U2, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591  Mowatt  Ln",2015-02-20,12:00,2015,12
2564,2015-00007980,02/23/15 19:05,02/23/15 19:05,Recovered Stolen Property,Unfounded,Guilford  Dr,2015-02-23,19:05,2015,19
2565,2015-00008009,02/23/15 22:58,02/23/15 22:58,CDS Violation,Arrest,Wake Forest  Dr,2015-02-23,22:58,2015,22
2566,2015-00008084,02/24/15 14:55,02/24/15 14:55,Emergency Petition,CBE,"Looney's Pub, The Varsity at 8150  Baltimore  Ave",2015-02-24,14:55,2015,14
2567,2015-00008090,02/24/15 14:00,02/24/15 16:07,Theft,Active/Pending,"Francis Scott, Francis Scott Key, Francis Scott Key Hall, FS Key Hall, FSK at 4282  Chapel  Ln",2015-02-24,14:00,2015,14
2568,2015-00008103,02/20/15 12:00,02/24/15 17:18,Harassment/Stalking (Title IX Related),Active/Pending,Cumberland Hall at 4145  Valley  Dr,2015-02-20,12:00,2015,12
2569,2015-00008120,02/24/15 18:29,02/24/15 18:29,Injured/Sick Person,CBE,"Kirwan Hall, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall at 4176  Campus  Dr",2015-02-24,18:29,2015,18
2570,2015-00008131,02/24/15 20:04,02/24/15 20:05,Other Incident,CBE,North Gate at 4306  Campus  Dr,2015-02-24,20:04,2015,20
2571,2015-00008188,02/25/15 02:22,02/25/15 02:22,CDS Violation,Arrest,College  Ave,2015-02-25,02:22,2015,02
2572,2015-00008192,02/25/15 03:03,02/25/15 03:03,Warrant/Summons Service,Arrest,College Park Towers at 4330  Hartwick  Rd,2015-02-25,03:03,2015,03
2573,2015-00008230,02/25/15 12:16,02/25/15 12:16,Injured/Sick Person,CBE,"Lot HH, PG1, Union Lane Parking Garage at 4170  Union  Ln",2015-02-25,12:16,2015,12
2574,2015-00008275,02/25/15 09:30,02/25/15 18:42,Theft,Active/Pending,"Journalism Building, Knight Hall at 7765  Alumni  Dr",2015-02-25,09:30,2015,09
2575,2015-00008293,02/25/15 21:00,02/25/15 22:38,Harassment/Stalking,Active/Pending,250 block of  Denton  Dr,2015-02-25,21:00,2015,21
2576,2015-00008320,02/26/15 00:33,02/26/15 00:33,Assault,CBE,Somerset Hall at 7567  Preinkert  Dr,2015-02-26,00:33,2015,00
2577,2015-00008361,02/26/15 02:00,02/26/15 12:55,Hate Bias Incident,Active/Pending,Queen Anne's Hall at 7645  Preinkert  Dr,2015-02-26,02:00,2015,02
2578,2015-00008366,01/27/15 12:00,02/26/15 14:09,Recovered Stolen Motor Vehicle,Arrest,Chesapeake Building at 4300  Terrapin  Trl,2015-01-27,12:00,2015,12
2579,2015-00008393,02/26/15 21:22,02/26/15 21:22,Other Incident,CBE,Wicomico Hall at 7218  Preinkert  Dr,2015-02-26,21:22,2015,21
2580,2015-00008447,02/27/15 02:04,02/27/15 02:04,CDS Violation,Arrest,Oakland Hall at 3912  Denton Service  Ln,2015-02-27,02:04,2015,02
2581,2015-00008463,02/27/15 03:59,02/27/15 03:59,Injured/Sick Person,CBE,Ellicott Hall at 4052  Stadium  Dr,2015-02-27,03:59,2015,03
2582,2015-00008492,02/21/15 12:00,02/27/15 10:04,Theft,Active/Pending,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056  Regents  Dr",2015-02-21,12:00,2015,12
2583,2015-00008515,10/20/14 12:00,02/27/15 15:13,Harassment/Stalking (Title IX Related),Suspended,Health Center at 3983  Campus  Dr,2014-10-20,12:00,2014,12
2584,2015-00008601,02/27/15 23:22,02/27/15 23:22,CDS Violation,CBE,Oakland Hall at 3912  Denton Service  Ln,2015-02-27,23:22,2015,23
2585,2015-00008606,02/27/15 23:53,02/27/15 23:53,Injured/Sick Person,CBE,Knox  Rd,2015-02-27,23:53,2015,23
2586,2015-00008608,02/27/15 10:10,02/28/15 00:08,Vandalism,Suspended,"Frat 10, Sigma Kappa Sorority at 10  Fraternity  Row",2015-02-27,10:10,2015,10
2587,2015-00008627,02/28/15 02:11,02/28/15 02:11,DWI/DUI,Arrest,University  Bl,2015-02-28,02:11,2015,02
2588,2015-00008628,02/28/15 02:17,02/28/15 02:17,Injured/Sick Person,CBE,Elkton Hall at 3981  Denton Service  Ln,2015-02-28,02:17,2015,02
2589,2015-00008642,02/27/15 17:20,02/27/15 17:20,Assist Other Agency,CBE,I295 @ Md 197,2015-02-27,17:20,2015,17
2590,2015-00008648,02/28/15 04:00,02/28/15 10:02,Suspicious Activity,CBE,7  Baltimore  Ave,2015-02-28,04:00,2015,04
2591,2015-00008664,02/28/15 12:26,02/28/15 12:26,Warrant/Summons Service,CBE,7  Baltimore  Ave,2015-02-28,12:26,2015,12
2592,2015-00008694,02/28/15 17:43,02/28/15 17:43,Warrant/Summons Service,Arrest,"College Park Metro, Metro at 4600  River  Rd",2015-02-28,17:43,2015,17
2593,2015-00008706,02/28/15 18:55,02/28/15 18:55,Theft,Arrest,Lehigh  Rd,2015-02-28,18:55,2015,18
2594,2015-00008711,02/28/15 19:40,02/28/15 19:40,CDS Violation,CBE,Oakland Hall at 3912  Denton Service  Ln,2015-02-28,19:40,2015,19
2595,2015-00008717,02/28/15 20:48,02/28/15 20:48,Recovered Stolen Motor Vehicle,Unfounded,Wells  Py,2015-02-28,20:48,2015,20
2596,2015-00008780,03/01/15 01:28,03/01/15 01:28,Injured/Sick Person,CBE,"Leonardtown #250, Leonardtown Community Center at 7559  Yale  Ave",2015-03-01,01:28,2015,01
2597,2015-00008787,03/01/15 03:26,03/01/15 03:26,Injured/Sick Person,CBE,"Leonardtown #247, Leonardtown at 4713  Rossborough  Ln",2015-03-01,03:26,2015,03
2598,2015-00008828,02/28/15 19:02,03/01/15 18:19,Harassment/Stalking,Unfounded,Phi Sigma Sigma Sorority at 4531  College  Ave,2015-02-28,19:02,2015,19
2599,2015-00008891,02/27/15 15:30,03/02/15 08:05,Damage to State Property,Active/Pending,Lot K4,2015-02-27,15:30,2015,15
2600,2015-00008912,03/02/15 11:30,03/02/15 11:30,Warrant/Summons Service,Arrest,Baltimore  Ave,2015-03-02,11:30,2015,11
2601,2015-00008919,03/02/15 13:21,03/02/15 13:21,Injured/Sick Person,CBE,"Eppley Recreation Center, ERC at 4128  Valley  Dr",2015-03-02,13:21,2015,13
2602,2015-00008946,03/02/15 12:10,03/02/15 16:21,Theft,Suspended,Ellicott Area Dining Hall at 4028  Stadium  Dr,2015-03-02,12:10,2015,12
2603,2015-00009063,02/12/15 07:00,03/03/15 11:42,Lost Property,Active/Pending,Gossett Football Team House at 4068  Fieldhouse  Dr,2015-02-12,07:00,2015,07
2604,2015-00009077,02/28/15 02:00,03/03/15 13:44,Other Incident,Unfounded,"Cole Field House, Cole Student Activities Building, Driscoll Center at 4090  Union  Dr",2015-02-28,02:00,2015,02
2605,2015-00009106,03/03/15 14:00,03/03/15 17:19,Suspicious Activity,Active/Pending,Skinner Building at 4300  Chapel  Ln,2015-03-03,14:00,2015,14
2606,2015-00009142,03/03/15 22:16,03/03/15 22:16,DWI/DUI,Arrest,Ledos Restaraunt at 4509  Knox  Rd,2015-03-03,22:16,2015,22
2607,2015-00009145,03/03/15 22:34,03/03/15 22:34,Burglary,Arrest,"Frat 12, Zeta Tau Alpha Sorority at 12  Fraternity  Row",2015-03-03,22:34,2015,22
2608,2015-00009163,03/04/15 00:15,03/04/15 01:10,Injured/Sick Person,CBE,Cecil Hall at 7549  Calvert Service  Ln,2015-03-04,00:15,2015,00
2609,2015-00009172,03/04/15 02:18,03/04/15 02:18,Injured/Sick Person,CBE,Denton Area Dining Hall at 3951  Denton Service  Ln,2015-03-04,02:18,2015,02
2610,2015-00009191,03/03/15 13:30,03/04/15 08:26,Vandalism,Suspended,"Armory, Reckord Armory at 4490  Rossborough  Ln",2015-03-03,13:30,2015,13
2611,2015-00009192,03/03/15 16:30,03/04/15 08:34,Theft,Suspended,"John S. Toll Physics Building, Physics Building at 4150  Campus  Dr",2015-03-03,16:30,2015,16
2612,2015-00009207,02/27/15 04:15,03/04/15 09:52,Theft,Arrest,South Campus Dining Hall at 7093  Preinkert  Dr,2015-02-27,04:15,2015,04
2613,2015-00009288,03/04/15 18:50,03/04/15 23:01,Theft,Suspended,"Stamp Student Union, Student Union, Union at 3972  Campus  Dr",2015-03-04,18:50,2015,18
2614,2015-00009337,03/05/15 02:00,03/05/15 14:50,Injured/Sick Person,CBE,Elkton Hall at 3981  Denton Service  Ln,2015-03-05,02:00,2015,02
2615,2015-00009339,03/05/15 15:00,03/05/15 15:00,Accident - Departmental,CBE,Hornbake Library at 4130  Campus  Dr,2015-03-05,15:00,2015,15
2616,2015-00009344,03/05/15 16:37,03/05/15 16:37,Injured/Sick Person,CBE,College  Ave,2015-03-05,16:37,2015,16
2617,2015-00009370,03/06/15 02:11,03/06/15 02:11,Injured/Sick Person,CBE,"Frat 7, Lamda Chi Alpha Fraternity at 7  Fraternity  Row",2015-03-06,02:11,2015,02
2618,2015-00009395,03/05/15 23:00,03/06/15 11:41,Theft,Unfounded,268 at 4314  Rowalt  Dr,2015-03-05,23:00,2015,23
2619,2015-00009416,03/06/15 16:00,03/06/15 17:00,Noise Complaint,CBE,7500 block of  Princeton  Ave,2015-03-06,16:00,2015,16
2620,2015-00009428,03/06/15 18:25,03/06/15 18:28,Injured/Sick Person,CBE,"Bob ""Turtle"" Smith Stadium, Shipley Field, Turtle Stadium at 4122  Fieldhouse  Dr",2015-03-06,18:25,2015,18
2621,2015-00009443,03/06/15 22:19,03/06/15 22:19,CDS Violation,CBE,Cumberland Hall at 4145  Valley  Dr,2015-03-06,22:19,2015,22
2622,2015-00009450,03/06/15 22:55,03/06/15 22:55,Noise Complaint,CBE,240 block of  Yale  Ave,2015-03-06,22:55,2015,22
2623,2015-00009461,03/07/15 00:05,03/07/15 00:05,CDS Violation,CBE,6900 block of  Preinkert  Dr,2015-03-07,00:05,2015,00
2624,2015-00009463,03/07/15 00:21,03/07/15 00:21,Vandalism,CBE,250 block of  Stadium  Dr,2015-03-07,00:21,2015,00
2625,2015-00009477,03/07/15 02:44,03/07/15 02:44,DWI/DUI,Arrest,East West  Hy,2015-03-07,02:44,2015,02
2626,2015-00009522,03/07/15 11:37,03/07/15 11:37,Recovered Stolen Property,Active/Pending,North Gate at 4306  Campus  Dr,2015-03-07,11:37,2015,11
2627,2015-00009523,03/07/15 11:59,03/07/15 11:59,CDS Violation,Arrest,Easton Hall at 3917  Denton Service  Ln,2015-03-07,11:59,2015,11
2628,2015-00009525,03/07/15 12:08,03/07/15 12:08,Animal Complaint,CBE,Oakland Hall at 3912  Denton Service  Ln,2015-03-07,12:08,2015,12
2629,2015-00009537,03/07/15 16:24,03/07/15 16:24,CDS Violation,Arrest,250 block of  Stadium  Dr,2015-03-07,16:24,2015,16
2630,2015-00009629,03/08/15 04:04,03/08/15 04:04,Injured/Sick Person,CBE,Hagerstown Hall at 4000  Stadium  Dr,2015-03-08,04:04,2015,04
2631,2015-00009634,03/08/15 05:00,03/08/15 05:11,Fire,CBE,Symons Hall at 7998  Regents  Dr,2015-03-08,05:00,2015,05
2632,2015-00009649,03/08/15 11:21,03/08/15 11:21,Warrant/Summons Service,Arrest,BP Gas Station at 8153  Baltimore  Ave,2015-03-08,11:21,2015,11
2633,2015-00009652,03/07/15 10:00,03/08/15 11:55,Theft,Suspended,Harford Hall at 7660  Regents  Dr,2015-03-07,10:00,2015,10
2634,2015-00009674,03/07/15 01:00,03/08/15 15:47,Assault,CBE,Ellicott Hall at 4052  Stadium  Dr,2015-03-07,01:00,2015,01
2635,2015-00009713,03/08/15 22:30,03/08/15 22:35,DWI/DUI,Arrest,Baltimore  Ave,2015-03-08,22:30,2015,22
2636,2015-00009755,03/09/15 07:15,03/09/15 07:15,Injured/Sick Person,CBE,Cambridge Community Center at 4232  Farm  Dr,2015-03-09,07:15,2015,07
2637,2015-00009817,03/09/15 14:36,03/09/15 14:36,CDS Violation,Arrest,9100 block of  Baltimore  Ave,2015-03-09,14:36,2015,14
2638,2015-00009819,03/09/15 15:00,03/09/15 15:00,Warrant/Summons Service,Arrest,12000 block of  Old Baltimore Pike,2015-03-09,15:00,2015,15
2639,2015-00009834,03/09/15 16:56,03/09/15 16:56,Other Incident,CBE,"Atlantic Building, Computer & Space Sciences Building at 4254  Stadium  Dr",2015-03-09,16:56,2015,16
2640,2015-00009835,03/08/15 19:00,03/09/15 17:01,CDS Violation,Arrest,Cambridge Hall at 4230  Farm  Dr,2015-03-08,19:00,2015,19
2641,2015-00009938,03/10/15 09:36,03/10/15 09:36,Warrant/Summons Service,Arrest,Pot Bellys at 7422  Baltimore  Ave,2015-03-10,09:36,2015,09
2642,2015-00009940,03/06/15 06:45,03/10/15 09:57,Dept Property Damage/Loss,CBE,7  Baltimore  Ave,2015-03-06,06:45,2015,06
2643,2015-00009959,03/10/15 15:42,03/10/15 15:42,Injured/Sick Person,CBE,Marie Mount Hall at 7814  Regents  Dr,2015-03-10,15:42,2015,15
2644,2015-00009962,03/10/15 16:00,03/10/15 16:07,Domestic (Title IX Related),CBE,3400 block of  Tulane  Dr,2015-03-10,16:00,2015,16
2645,2015-00010033,03/11/15 01:46,03/11/15 01:46,DWI/DUI,Arrest,Baltimore  Ave,2015-03-11,01:46,2015,01
2646,2015-00010101,03/09/15 08:00,03/11/15 12:00,Burglary,Arrest,Golf Course Club House at 3800  Golf Course  Rd,2015-03-09,08:00,2015,08
2647,2015-00010103,03/11/15 13:30,03/11/15 14:15,Burglary,Suspended,Engineering Laboratory Building at 8136  Paint Branch  Dr,2015-03-11,13:30,2015,13
2648,2015-00010307,03/12/15 13:54,03/12/15 13:54,Disorderly Conduct,CBE,"Comcast Center, Xfinity Center at 8500  Paint Branch  Dr",2015-03-12,13:54,2015,13
2649,2015-00010317,03/12/15 16:02,03/12/15 16:02,Recovered Stolen Motor Vehicle,Active/Pending,North Gate at 4306  Campus  Dr,2015-03-12,16:02,2015,16
2650,2015-00010333,03/12/15 17:50,03/12/15 18:48,Theft,Active/Pending,South Campus Dining Hall at 7093  Preinkert  Dr,2015-03-12,17:50,2015,17
2651,2015-00010356,03/12/15 20:58,03/12/15 20:58,Assault,Arrest,"Comcast Center, Xfinity Center at 8500  Paint Branch  Dr",2015-03-12,20:58,2015,20
2652,2015-00010361,03/12/15 21:47,03/12/15 21:47,Traffic Arrest,Arrest,Baltimore  Ave,2015-03-12,21:47,2015,21
2653,2015-00010389,03/13/15 00:05,03/13/15 00:05,CDS Violation,Arrest,Lot GG1,2015-03-13,00:05,2015,00
2654,2015-00010415,03/13/15 01:14,03/13/15 01:14,DWI/DUI,Arrest,University  Bl,2015-03-13,01:14,2015,01
2655,2015-00010442,03/13/15 04:08,03/13/15 04:08,Injured/Sick Person,CBE,Commons 1 at 4250  Lehigh  Rd,2015-03-13,04:08,2015,04
2656,2015-00010454,03/13/15 07:50,03/13/15 07:54,Accident - Departmental,CBE,Cherry Hill  Rd,2015-03-13,07:50,2015,07
2657,2015-00010463,03/13/15 09:54,03/13/15 09:54,Fraud,Suspended,South Campus Dining Hall at 7093  Preinkert  Dr,2015-03-13,09:54,2015,09
2658,2015-00010490,03/13/15 15:05,03/13/15 15:26,Police Information,Suspended,"Lee Building, South Administration at 7809  Regents  Dr",2015-03-13,15:05,2015,15
2659,2015-00010492,03/13/15 15:35,03/13/15 15:53,Theft,Suspended,"H.J. Patterson Hall, HJ Patterson Hall at 4065  Campus  Dr",2015-03-13,15:35,2015,15
2660,2015-00010510,03/13/15 15:00,03/13/15 18:41,Theft,Suspended,"Chemistry, Chemistry Building at 8051  Regents  Dr",2015-03-13,15:00,2015,15
2661,2015-00010523,03/13/15 19:42,03/13/15 19:42,CDS Violation,CBE,250 block of  Denton  Dr,2015-03-13,19:42,2015,19
2662,2015-00010653,03/14/15 11:21,03/14/15 11:21,Recovered Stolen Property,Arrest,4300 block of  Rowalt  Dr,2015-03-14,11:21,2015,11
2663,2015-00010655,03/14/15 11:50,03/14/15 11:53,Injured/Sick Person,CBE,261 at 4303  Rowalt  Dr,2015-03-14,11:50,2015,11
2664,2015-00010706,03/14/15 20:00,03/14/15 20:11,Injured/Sick Person,CBE,"Comcast Center, Xfinity Center at 8500  Paint Branch  Dr",2015-03-14,20:00,2015,20
2665,2015-00010749,03/14/15 23:30,03/14/15 23:30,CDS Violation,CBE,Yale  Ave,2015-03-14,23:30,2015,23
2666,2015-00010762,03/15/15 00:19,03/15/15 00:19,Alcohol Violation,Arrest,Baltimore  Ave,2015-03-15,00:19,2015,00
2667,2015-00010780,03/15/15 01:54,03/15/15 01:54,DWI/DUI,Arrest,University  Bl,2015-03-15,01:54,2015,01
2668,2015-00010786,03/15/15 03:09,03/15/15 03:09,DWI/DUI,Arrest,Baltimore  Ave,2015-03-15,03:09,2015,03
2669,2015-00010915,03/15/15 22:30,03/15/15 22:30,CDS Violation,Arrest,"Lot 19, Lot U2, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591  Mowatt  Ln",2015-03-15,22:30,2015,22
2670,2015-00010947,03/16/15 04:44,03/16/15 04:44,Recovered Stolen Property,Arrest,City of CP Garage at  Knox  Rd,2015-03-16,04:44,2015,04
2671,2015-00011045,02/11/15 17:25,03/16/15 16:38,Theft,Suspended,260 at 4301  Rowalt  Dr,2015-02-11,17:25,2015,17
2672,2015-00011111,03/16/15 22:29,03/16/15 22:29,Warrant/Summons Service,Arrest,Baltimore  Ave,2015-03-16,22:29,2015,22
2673,2015-00011114,03/16/15 22:32,03/16/15 22:32,Warrant/Summons Service,Arrest,University  Bl,2015-03-16,22:32,2015,22
2674,2015-00011117,03/16/15 22:47,03/16/15 22:47,CDS Violation,Arrest,Baltimore  Ave,2015-03-16,22:47,2015,22
2675,2015-00011158,03/17/15 02:29,03/17/15 02:29,DWI/DUI,Arrest,"College Park Metro, Metro at 4600  River  Rd",2015-03-17,02:29,2015,02
2676,2015-00011295,03/17/15 20:27,03/17/15 20:27,Traffic Arrest,Arrest,NA,2015-03-17,20:27,2015,20
2677,2015-00011318,03/17/15 22:35,03/17/15 22:35,DWI/DUI,Arrest,NA,2015-03-17,22:35,2015,22
2678,2015-00011352,03/18/15 01:36,03/18/15 01:36,DWI/DUI,Arrest,Lot GG1,2015-03-18,01:36,2015,01
2679,2015-00011358,03/18/15 03:01,03/18/15 03:01,DRE,CBE,10000 block of  Rhode Island Ave,2015-03-18,03:01,2015,03
2680,2015-00011375,03/12/15 07:00,03/18/15 07:49,Dept Property Damage/Loss,Active/Pending,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave",2015-03-12,07:00,2015,07
2681,2015-00011432,03/18/15 12:30,03/18/15 13:24,Identity Theft,CBE,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave",2015-03-18,12:30,2015,12
2682,2015-00011525,03/18/15 23:23,03/18/15 23:23,Traffic Arrest,Arrest,University  Bl,2015-03-18,23:23,2015,23
2683,2015-00011553,03/19/15 05:20,03/19/15 05:20,Warrant/Summons Service,Arrest,Baltimore  Ave,2015-03-19,05:20,2015,05
2684,2015-00011566,03/13/15 12:00,03/19/15 07:37,Burglary,Active/Pending,"Francis Scott, Francis Scott Key, Francis Scott Key Hall, FS Key Hall, FSK at 4282  Chapel  Ln",2015-03-13,12:00,2015,12
2685,2015-00011576,03/19/15 09:14,03/19/15 09:14,Injured/Sick Person,CBE,Hagerstown Hall at 4000  Stadium  Dr,2015-03-19,09:14,2015,09
2686,2015-00011645,03/19/15 18:47,03/19/15 18:47,Other Incident,Arrest,Lot 16a,2015-03-19,18:47,2015,18
2687,2015-00011704,03/20/15 01:17,03/20/15 01:17,CDS Violation,Arrest,Campus Village at 8145  Baltimore  Ave,2015-03-20,01:17,2015,01
2688,2015-00011762,03/20/15 13:15,03/20/15 13:53,Dept Property Damage/Loss,Unfounded,4900 block of  Rhode Island  Ave,2015-03-20,13:15,2015,13
2689,2015-00011777,03/20/15 15:30,03/20/15 15:49,Theft,CBE,"Stamp Student Union, Student Union, Union at 3972  Campus  Dr",2015-03-20,15:30,2015,15
2690,2015-00011819,03/20/15 21:58,03/20/15 21:58,DWI/DUI,Arrest,Baltimore  Ave,2015-03-20,21:58,2015,21
2691,2015-00011875,03/21/15 01:51,03/21/15 01:55,DWI/DUI,Arrest,North Gate at 4306  Campus  Dr,2015-03-21,01:51,2015,01
2692,2015-00011918,03/21/15 15:30,03/21/15 15:37,Dept Property Damage/Loss,CBE,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave",2015-03-21,15:30,2015,15
2693,2015-00012006,03/21/15 22:30,03/21/15 22:30,CDS Violation,CBE,Baltimore  Ave,2015-03-21,22:30,2015,22
2694,2015-00012051,03/22/15 00:38,03/22/15 00:38,CDS Violation,Arrest,Lot 1b,2015-03-22,00:38,2015,00
2695,2015-00012071,03/22/15 02:18,03/22/15 02:18,DWI/DUI,Arrest,Baltimore  Ave,2015-03-22,02:18,2015,02
2696,2015-00012179,03/22/15 18:44,03/22/15 18:44,Injured/Sick Person,CBE,Ritchie Coliseum at 7675  Baltimore  Ave,2015-03-22,18:44,2015,18
2697,2015-00012215,03/22/15 22:23,03/22/15 22:23,Alcohol Violation,Arrest,South Campus Dining Hall at 7093  Preinkert  Dr,2015-03-22,22:23,2015,22
2698,2015-00012253,03/23/15 00:45,03/23/15 00:45,DWI/DUI,Arrest,Baltimore  Ave,2015-03-23,00:45,2015,00
2699,2015-00012294,03/13/15 03:30,03/23/15 07:39,Stolen Motor Vehicle,Active/Pending,"Stamp Student Union, Student Union, Union at 3972  Campus  Dr",2015-03-13,03:30,2015,03
