,umpd_case_number,occured_date_time_location,report_date_time,_type,disposition,location
3818,2015-00043679,09/26/15 02:45,10/05/15 19:45,Assault,Active/Pending,7400 block of  Princeton  Ave
3819,2015-00043768,10/06/15 09:46,10/06/15 09:46,Injured/Sick Person,CBE,"Chemistry, Chemistry Building at 8051  Regents  Dr"
3820,2015-00043814,10/06/15 12:00,10/06/15 17:55,Dept Property Damage/Loss,Active/Pending,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
3821,2015-00043820,10/03/15 14:00,10/06/15 18:59,Theft,Suspended,"Leonardtown #245, Leonardtown at 4689  Rossborough  Ln"
3822,2015-00043827,10/06/15 20:33,10/06/15 20:33,CDS Violation,Juvenile Arrest,University Blvd/golf Course Dr
3823,2015-00043843,10/06/15 23:09,10/06/15 23:09,Injured/Sick Person,CBE,"Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
3824,2015-00043845,10/06/15 23:17,10/06/15 23:17,Injured/Sick Person,CBE,"Comcast Center, Xfinity Center at 8500  Paint Branch  Dr"
3825,2015-00043870,10/07/15 01:14,10/07/15 01:14,CDS Violation,Arrest,Baltimore  Ave
3826,2015-00043897,10/07/15 12:00,10/07/15 13:47,Theft,Suspended,Van Munching Hall at 7699  Mowatt  Ln
3827,2015-00043948,10/07/15 20:56,10/07/15 20:56,Accident - Departmental,CBE,Campus  Dr
3828,2015-00043990,10/08/15 01:20,10/08/15 01:20,CDS Violation,Arrest,University  Bl
3829,2015-00043991,10/08/15 01:31,10/08/15 01:31,CDS Violation,Arrest,Baltimore  Ave
3830,2015-00044035,10/08/15 11:05,10/08/15 11:07,Accident - Departmental,CBE,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
3831,2015-00044046,10/08/15 14:12,10/08/15 14:12,Emergency Petition,CBE,Mckeldin Mall
3832,2015-00044051,10/08/15 15:00,10/08/15 16:44,Burglary,Suspended,Elkton Hall at 3981  Denton Service  Ln
3833,2015-00044054,10/08/15 17:02,10/08/15 17:05,CDS Violation,CBE,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155  Terrapin  Trl"
3834,2015-00044060,10/08/15 17:40,10/08/15 17:58,Injured/Sick Person,CBE,Health Center at 3983  Campus  Dr
3835,2015-00044061,10/08/15 18:04,10/08/15 18:04,Trespassing,CBE,Queen Anne's Hall at 7645  Preinkert  Dr
3836,2015-00044082,10/08/15 22:21,10/08/15 22:21,Injured/Sick Person,CBE,"Eppley Recreation Center, ERC at 4128  Valley  Dr"
3837,2015-00044103,10/08/15 23:57,10/08/15 23:57,CDS Violation,CBE,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200  Valley  Dr"
3838,2015-00044104,10/08/15 15:30,10/08/15 23:56,Theft,Suspended,"Eppley Recreation Center, ERC at 4128  Valley  Dr"
3839,2015-00044108,10/09/15 00:27,10/09/15 00:27,Assault,Arrest,Baltimore  Ave
3840,2015-00044113,10/09/15 01:06,10/09/15 01:06,CDS Violation,CBE,Easton Hall at 3917  Denton Service  Ln
3841,2015-00044114,10/09/15 01:30,10/09/15 01:38,CDS Violation,Arrest,"La Plata Beach, LaPlata Beach"
3842,2015-00044117,10/09/15 01:45,10/09/15 02:13,Injured/Sick Person,CBE,Worcester Hall at 7405  Preinkert  Dr
3843,2015-00044139,09/30/14 14:03,10/09/15 08:47,Other Incident (Title IX Related),Arrest,"Armory, Reckord Armory at 4490  Rossborough  Ln"
3844,2015-00044175,10/06/15 12:33,10/09/15 14:16,Fraud,Suspended,8100 block of  84th Ave
3845,2015-00044186,10/09/15 16:20,10/09/15 17:12,Theft,Suspended,"La Plata Hall, LaPlata hall at 4121  Farm  Dr"
3846,2015-00044189,10/09/15 17:25,10/09/15 17:25,Injured/Sick Person,CBE,"La Plata Beach, LaPlata Beach"
3847,2015-00044215,10/06/15 21:00,10/09/15 21:57,Dept Property Damage/Loss,CBE,18000 block of  Marsh Hawk Lane
3848,2015-00044234,10/09/15 23:02,10/09/15 23:02,Injured/Sick Person,CBE,Ellicott Hall at 4052  Stadium  Dr
3849,2015-00044248,10/10/15 00:07,10/10/15 00:07,Damage to State Property,CBE,269 at 4315  Rowalt  Dr
3850,2015-00044281,10/10/15 01:30,10/10/15 02:31,Damage to State Property,CBE,"Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
3851,2015-00044313,10/10/15 11:06,10/10/15 11:06,Injured/Sick Person,CBE,Varsity Sports Teamhouse at 4117  Stadium  Dr
3852,2015-00044314,10/10/15 10:43,10/10/15 10:43,Other Service Call,CBE,Van Munching Hall at 7699  Mowatt  Ln
3853,2015-00044326,10/10/15 02:30,10/10/15 13:47,Theft,Suspended,"Capital One Field at Byrd Stadium, Maryland Stadium"
3854,2015-00044331,10/10/15 14:52,10/10/15 14:52,Injured/Sick Person,CBE,Hagerstown Hall at 4000  Stadium  Dr
3855,2015-00044396,10/10/15 22:56,10/10/15 22:56,CDS Violation,Arrest,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155  Terrapin  Trl"
3856,2015-00044425,10/11/15 02:42,10/11/15 02:42,Injured/Sick Person,CBE,Elkton Hall at 3981  Denton Service  Ln
3857,2015-00044427,10/11/15 02:00,10/11/15 02:51,Emergency Petition,CBE,4300 block of  Knox Rd
3858,2015-00044432,10/11/15 05:44,10/11/15 05:44,Suspicious Person/Auto,Suspended,"Lot HH, PG1, Union Lane Parking Garage at 4170  Union  Ln"
3859,2015-00044500,10/08/15 05:30,10/11/15 17:49,Vandalism,Suspended,Lot F
3860,2015-00044551,10/12/15 00:09,10/12/15 00:09,Traffic Arrest,Arrest,"Motor Pool, Severn Building, Terp Trader, Washington Post Building at 5245  Greenbelt  Rd"
3861,2015-00044556,10/12/15 00:29,10/12/15 00:29,Injured/Sick Person,CBE,Dorchester Hall at 3947  Campus  Dr
3862,2015-00044560,10/12/15 01:00,10/12/15 01:27,CDS Violation,CBE,Oakland Hall at 3912  Denton Service  Ln
3863,2015-00044572,10/09/15 17:00,10/12/15 09:18,Burglary,Suspended,Annapolis Hall at 7626  Regents  Dr
3864,2015-00044575,10/11/15 20:30,10/12/15 10:24,Dept Property Damage/Loss,CBE,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
3865,2015-00044593,10/11/15 23:12,10/12/15 15:30,Assist Other Agency (Title IX Related),CBE,Washington Adventist Hospital
3866,2015-00044597,10/09/15 16:45,10/12/15 16:06,Theft,Suspended,"Cole Field House, Cole Student Activities Building, Driscoll Center at 4090  Union  Dr"
3867,2015-00044630,10/12/15 18:30,10/12/15 22:40,Theft,Arrest,Queen Anne's Hall at 7645  Preinkert  Dr
3868,2015-00044635,10/12/15 23:01,10/12/15 23:01,Injured/Sick Person,CBE,"Eppley Recreation Center, ERC at 4128  Valley  Dr"
3869,2015-00044664,10/13/15 01:22,10/13/15 01:22,CDS Violation,CBE,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155  Terrapin  Trl"
3870,2015-00044665,10/13/15 01:41,10/13/15 01:41,Warrant/Summons Service,Arrest,McDonald's at 8301  Baltimore  Ave
3871,2015-00044668,10/13/15 03:54,10/13/15 03:54,Emergency Petition,CBE,Oakland Hall at 3912  Denton Service  Ln
3872,2015-00044690,10/09/15 21:00,10/13/15 10:09,Peeping Tom,Suspended,Prince Frederick Hall at 7030  Preinkert  Dr
3873,2015-00044719,10/09/15 13:30,10/13/15 15:34,Theft,Suspended,"Atlantic Building, Computer & Space Sciences Building at 4254  Stadium  Dr"
3874,2015-00044732,10/13/15 17:39,10/13/15 17:39,Emergency Petition,CBE,250 block of  Stadium  Dr
3875,2015-00044734,10/12/15 12:00,10/13/15 17:57,Theft,Suspended,St. Mary's Hall at 3949  Campus  Dr
3876,2015-00044772,10/13/15 22:35,10/13/15 22:35,Suspicious Activity,CBE,Lot 8
3877,2015-00044802,10/14/15 01:09,10/14/15 01:09,Injured/Sick Person,CBE,250 block of  Farm  Dr
3878,2015-00044822,10/14/15 05:37,10/14/15 05:37,Injured/Sick Person,CBE,Ellicott Hall at 4052  Stadium  Dr
3879,2015-00044837,10/14/15 09:00,10/14/15 10:59,Other Incident,Suspended,160 block of  Union  Dr
3880,2015-00044844,10/14/15 09:10,10/14/15 14:35,Theft,Suspended,Mckeldin Library at 7649  Library  Ln
3881,2015-00044849,10/09/15 20:00,10/14/15 14:56,Theft,Suspended,"Lot 19, Lot U2, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591  Mowatt  Ln"
3882,2015-00044851,10/12/15 11:10,10/14/15 15:13,Theft,Unfounded,"John S. Toll Physics Building, Physics Building at 4150  Campus  Dr"
3883,2015-00044855,10/01/15 13:00,10/14/15 15:48,Dept Property Damage/Loss,CBE,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
3884,2015-00044920,10/15/15 00:49,10/15/15 00:49,DWI/DUI,Arrest,Adelphi  Rd
3885,2015-00044977,10/13/15 11:00,10/15/15 10:09,Theft,Suspended,"Satellite Central Utilities Building 2, SCUB 2 at 7187  Preinkert  Dr"
3886,2015-00044979,10/15/15 10:27,10/15/15 10:27,Injured/Sick Person,CBE,UMUC Inn & Conference Center at 345  Ehrensberger  Dr
3887,2015-00044987,10/15/15 13:00,10/15/15 13:06,Theft,Active/Pending,Ellicott Hall at 4052  Stadium  Dr
3888,2015-00044989,10/09/15 12:00,10/15/15 13:27,Theft,Suspended,"Kirwan Hall, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall at 4176  Campus  Dr"
3889,2015-00045004,02/13/15,10/15/15 15:59,Rape,CBE,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
3890,2015-00045019,10/15/15 17:30,10/15/15 18:32,Peeping Tom,Suspended,Cumberland Hall at 4145  Valley  Dr
3891,2015-00045046,10/15/15 15:50,10/15/15 21:49,Theft,Active/Pending,Denton Area Dining Hall at 3951  Denton Service  Ln
3892,2015-00045060,10/15/15 23:53,10/15/15 23:53,Traffic Arrest,Arrest,Baltimore  Ave
3893,2015-00045068,10/16/15 00:42,10/16/15 00:42,Injured/Sick Person,CBE,"Alpha Sigma Phi, Frat 9 at 9  Fraternity  Row"
3894,2015-00045078,10/16/15 02:13,10/16/15 02:13,Injured/Sick Person,CBE,Elkton Hall at 3981  Denton Service  Ln
3895,2015-00045084,10/16/15 03:12,10/16/15 03:12,CDS Violation,Arrest,"College Park Shopping Center, CVS at 7300  Baltimore  Ave"
3896,2015-00045090,10/16/15 04:51,10/16/15 04:51,Injured/Sick Person,CBE,"Leonardtown #248, Leonardtown at 7567  Yale  Ave"
3897,2015-00045095,10/15/15 22:00,10/16/15 06:01,Dept Property Damage/Loss,Unfounded,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
3898,2015-00045096,10/16/15 06:19,10/16/15 06:19,Emergency Petition,CBE,"Leonardtown #239, Leonardtown at 4610  Norwich  Rd"
3899,2015-00045132,10/14/15 16:27,10/16/15 11:17,Fraud,Suspended,"Lee Building, South Administration at 7809  Regents  Dr"
3900,2015-00045151,10/16/15 14:20,10/16/15 14:20,Injured/Sick Person,CBE,"Eppley Recreation Center, ERC at 4128  Valley  Dr"
3901,2015-00045155,10/16/15 11:30,10/16/15 14:35,Theft,Active/Pending,"Eppley Recreation Center, ERC at 4128  Valley  Dr"
3902,2015-00045158,10/16/15 00:01,10/16/15 15:32,Vandalism,Active/Pending,"Leonardtown #239, Leonardtown at 4610  Norwich  Rd"
3903,2015-00045173,10/16/15 18:05,10/16/15 18:06,Injured/Sick Person,CBE,"Drazek Circle, UMUC at 346  Ehrensberger  Dr"
3904,2015-00045181,10/16/15 19:00,10/16/15 19:20,Other Incident,CBE,Lot FF
3905,2015-00045191,10/16/15 21:30,10/16/15 21:34,Injured/Sick Person,CBE,South Campus Dining Hall at 7093  Preinkert  Dr
3906,2015-00045213,10/16/15 23:20,10/16/15 23:26,CDS Violation,Arrest,Lot 2a
3907,2015-00045235,10/17/15 01:19,10/17/15 01:19,CDS Violation,Arrest,Oakland Hall at 3912  Denton Service  Ln
3908,2015-00045236,10/17/15 01:18,10/17/15 01:18,CDS Violation,Arrest,Chestertown Hall at 4201  Valley  Dr
3909,2015-00045240,10/17/15 01:59,10/17/15 01:59,Injured/Sick Person,CBE,Cumberland Hall at 4145  Valley  Dr
3910,2015-00045241,10/17/15 01:30,10/17/15 02:05,Injured/Sick Person,CBE,Commons 1 at 4250  Lehigh  Rd
3911,2015-00045245,10/17/15 02:30,10/17/15 02:54,Threat Assessment,Active/Pending,Bel Air Hall at 4213  Valley  Dr
3912,2015-00045257,10/17/15 05:06,10/17/15 05:06,Injured/Sick Person,CBE,Elkton Hall at 3981  Denton Service  Ln
3913,2015-00045261,10/17/15,10/17/15 06:51,Vandalism,Active/Pending,"John S. Toll Physics Building, Physics Building at 4150  Campus  Dr"
3914,2015-00045267,10/17/15,10/17/15 09:26,Theft,Active/Pending,Commons 1 at 4250  Lehigh  Rd
3915,2015-00045305,10/17/15 19:41,10/17/15 19:41,Warrant/Summons Service,Arrest,Baltimore  Ave
3916,2015-00045312,10/17/15 21:45,10/17/15 21:45,CDS Violation,Arrest,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155  Terrapin  Trl"
3917,2015-00045320,10/17/15 22:28,10/17/15 22:28,CDS Violation,CBE,Denton Hall at 3854  Stadium  Dr
3918,2015-00045337,10/17/15 23:46,10/17/15 23:46,CDS Violation,Arrest,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155  Terrapin  Trl"
3919,2015-00045339,10/18/15 00:14,10/18/15 00:14,Injured/Sick Person,CBE,8500 block of  Boteler  Ln
3920,2015-00045341,10/17/15 22:00,10/18/15 00:24,Theft,Suspended,Plant Sciences Building at 4291  Fieldhouse  Dr
3921,2015-00045360,10/18/15 01:50,10/18/15 01:56,CDS Violation,Arrest,Easton Hall at 3917  Denton Service  Ln
3922,2015-00045363,10/18/15 02:14,10/18/15 02:14,Injured/Sick Person,CBE,"Cole Field House, Cole Student Activities Building, Driscoll Center at 4090  Union  Dr"
3923,2015-00045369,10/18/15 03:10,10/18/15 03:10,Injured/Sick Person,CBE,7400 block of  Baltimore  Ave
3924,2015-00045372,10/18/15 03:27,10/18/15 03:27,Injured/Sick Person,CBE,Ellicott Hall at 4052  Stadium  Dr
3925,2015-00045373,10/18/15 03:29,10/18/15 03:29,Emergency Petition,CBE,Golf Course Club House at 3800  Golf Course  Rd
3926,2015-00045398,10/16/15 07:00,10/18/15 10:25,Vandalism,Suspended,Lot A
3927,2015-00045400,10/18/15 11:00,10/18/15 11:06,Fire,CBE,"CASL, Center for the Advanced Study of Language at 7005  52nd  Ave"
3928,2015-00045412,10/18/15 14:00,10/18/15 14:06,Fire,CBE,Bel Air Hall at 4213  Valley  Dr
3929,2015-00045418,10/18/15 15:37,10/18/15 15:37,CDS Violation,Arrest,Baltimore  Ave
3930,2015-00045442,10/17/15 17:00,10/18/15 18:23,Theft,Active/Pending,Van Munching Hall at 7699  Mowatt  Ln
3931,2015-00045448,10/17/15,10/18/15 19:29,Other Incident (Title IX Related),Active/Pending,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
3932,2015-00045457,10/09/15 15:15,10/18/15 21:06,Title IX Incident Non Criminal,Suspended,Mckeldin Library at 7649  Library  Ln
3933,2015-00045472,10/19/15 00:07,10/19/15 00:07,Emergency Petition,CBE,Caroline Hall at 7154  Preinkert  Dr
3934,2015-00045516,10/19/15 12:00,10/19/15 13:22,Hazardous Condition,CBE,"Atlantic Building, Computer & Space Sciences Building at 4254  Stadium  Dr"
3935,2015-00045520,10/18/15 12:00,10/19/15 15:33,Vandalism,Suspended,Queen Anne's Hall at 7645  Preinkert  Dr
3936,2015-00045522,10/19/15 16:09,10/19/15 16:09,Trespassing,CBE,"Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
3937,2015-00045530,10/15/15 14:25,10/19/15 17:07,Theft,Active/Pending,Centreville Hall at 4243  Valley  Dr
3938,2015-00045537,10/16/15 16:30,10/19/15 17:41,Theft,Active/Pending,Tydings Hall at 7343  Preinkert  Dr
3939,2015-00045573,10/19/15 23:58,10/19/15 23:58,CDS Violation,CBE,Lot 2g
3940,2015-00045613,10/19/15 10:39,10/20/15 09:19,Vandalism,Suspended,Lot SS1
3941,2015-00045615,10/20/15 09:35,10/20/15 09:35,Traffic Arrest,Arrest,University  Bl
3942,2015-00045628,10/19/15 16:00,10/20/15 10:55,Theft,Active/Pending,"Leonardtown #245, Leonardtown at 4689  Rossborough  Ln"
3943,2015-00045645,10/18/15 12:30,10/20/15 15:05,Vandalism,Suspended,Lot 7
3944,2015-00045660,10/20/15 15:15,10/20/15 17:51,Theft,Suspended,Van Munching Hall at 7699  Mowatt  Ln
3945,2015-00045689,10/20/15 20:45,10/20/15 20:56,Injured/Sick Person,CBE,Recreation Artificial Turf Field
3946,2015-00045698,10/15/15 10:30,10/20/15 22:05,Theft,Suspended,Queen Anne's Hall at 7645  Preinkert  Dr
3947,2015-00045742,10/21/15 01:47,10/21/15 01:47,CDS Violation,CBE,Baltimore  Ave
3948,2015-00045744,10/21/15 02:10,10/21/15 02:10,DWI/DUI,Arrest,Baltimore  Ave
3949,2015-00045775,10/20/15 17:30,10/21/15 06:13,Accident - Departmental,CBE,Regents  Dr
3950,2015-00045804,10/20/15 23:00,10/21/15 13:28,Vandalism,Suspended,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
3951,2015-00045872,10/21/15 23:20,10/21/15 23:43,Other Incident,CBE,Commons 1 at 4250  Lehigh  Rd
3952,2015-00045873,10/21/15 23:44,10/21/15 23:44,Injured/Sick Person,CBE,South Campus Dining Hall at 7093  Preinkert  Dr
3953,2015-00045917,06/01/15 09:00,10/22/15 10:46,Stolen Motor Vehicle,Suspended,Kent Hall at 7565  Calvert Service  Ln
3954,2015-00045925,10/22/15 08:30,10/22/15 13:11,Theft from Auto,Suspended,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056  Regents  Dr"
3955,2015-00045932,10/22/15 15:15,10/22/15 15:56,Theft,Active/Pending,Van Munching Hall at 7699  Mowatt  Ln
3956,2015-00045985,10/22/15 21:15,10/22/15 22:18,Theft,Unfounded,Tawes Hall at 7751  Alumni  Dr
3957,2015-00046007,10/23/15 01:29,10/23/15 01:29,Injured/Sick Person,CBE,"Frat 13, Zeta Psi Fraternity at 13  Fraternity  Row"
3958,2015-00046009,10/23/15 01:30,10/23/15 01:47,Injured/Sick Person,CBE,Cecil Hall at 7549  Calvert Service  Ln
3959,2015-00046010,10/23/15 02:06,10/23/15 02:06,Noise Complaint,CBE,3400 block of  Tulane  Dr
3960,2015-00046012,10/23/15 02:31,10/23/15 02:31,Injured/Sick Person,CBE,4800 block of  Calvert  Rd
3961,2015-00046016,10/23/15 03:29,10/23/15 03:29,Injured/Sick Person,CBE,"Leonardtown #240, Leonardtown at 4624  Norwich  Rd"
3962,2015-00046018,10/23/15 05:17,10/23/15 05:17,Alarm,CBE,Allegany Hall at 4299  Lehigh  Rd
3963,2015-00046059,10/22/15 17:30,10/23/15 12:18,Theft,Suspended,8000 block of  Boteler  Ln
3964,2015-00046062,10/23/15 13:02,10/23/15 13:02,Accident - Departmental,CBE,Lot F
3965,2015-00046144,10/23/15 16:00,10/23/15 21:06,Theft,Suspended,"Leonardtown #245, Leonardtown at 4689  Rossborough  Ln"
3966,2015-00046148,03/13/15 02:00,10/23/15 21:18,Rape (Title IX Related),CBE,"Frat 5, Phi Kappa Tau Fraternity at 5  Fraternity  Row"
3967,2015-00046178,10/24/15 00:02,10/24/15 00:02,Injured/Sick Person,CBE,Bentleys at 7323  Baltimore  Ave
3968,2015-00046196,10/24/15 01:31,10/24/15 01:31,Injured/Sick Person,CBE,Lot D
3969,2015-00046201,10/24/15 01:56,10/24/15 01:56,Injured/Sick Person,CBE,Ellicott Hall at 4052  Stadium  Dr
3970,2015-00046252,10/24/15 19:13,10/24/15 19:13,Injured/Sick Person,CBE,Ellicott Area Dining Hall at 4028  Stadium  Dr
3971,2015-00046271,10/24/15 22:03,10/24/15 22:03,Trespassing,Arrest,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
3972,2015-00046272,10/24/15 22:16,10/24/15 22:16,CDS Violation,Arrest,"The View, University View at 8204  Baltimore  Ave"
3973,2015-00046290,10/25/15 01:35,10/25/15 01:35,Vandalism,Active/Pending,"Leonardtown #250, Leonardtown Community Center at 7559  Yale  Ave"
3974,2015-00046308,10/25/15 10:30,10/25/15 10:59,Assault,Suspended,"Cole Field House, Cole Student Activities Building, Driscoll Center at 4090  Union  Dr"
3975,2015-00046311,10/25/15 12:05,10/25/15 12:09,Injured/Sick Person,CBE,"Cole Field House, Cole Student Activities Building, Driscoll Center at 4090  Union  Dr"
3976,2015-00046313,10/24/15 13:00,10/25/15 12:48,Theft,Active/Pending,Frederick Hall at 4402  Lehigh  Rd
3977,2015-00046314,10/25/15 13:00,10/25/15 13:04,Injured/Sick Person,CBE,Field Hockey & Lacrosse Complex at 8483  Paint Branch  Dr
3978,2015-00046316,10/24/15 22:00,10/25/15 13:25,Theft,Unfounded,"Leonardtown #247, Leonardtown at 4713  Rossborough  Ln"
3979,2015-00046318,10/23/15 18:00,10/25/15 13:30,Theft,Suspended,"Leonardtown #247, Leonardtown at 4713  Rossborough  Ln"
3980,2015-00046320,10/24/15 19:00,10/25/15 14:53,Theft,Suspended,Baltimore Hall at 7497  Calvert Service  Ln
3981,2015-00046321,10/24/15 17:00,10/25/15 15:14,Theft,Suspended,Harford Hall at 7660  Regents  Dr
3982,2015-00046322,10/25/15 15:37,10/25/15 15:37,Theft,Active/Pending,"Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
3983,2015-00046331,10/24/15 12:00,10/25/15 16:52,Theft,Suspended,Calvert Hall at 7551  Calvert Service  Ln
3984,2015-00046351,10/25/15 19:48,10/25/15 19:48,CDS Violation,CBE,Hagerstown Hall at 4000  Stadium  Dr
3985,2015-00046353,10/25/15 20:00,10/25/15 20:07,Stolen Motor Vehicle,Suspended,"Comcast Center, Xfinity Center at 8500  Paint Branch  Dr"
3986,2015-00046354,10/24/15 21:30,10/25/15 20:22,Theft,Active/Pending,Baltimore Hall at 7497  Calvert Service  Ln
3987,2015-00046374,10/23/15 21:00,10/25/15 23:25,Theft,Juvenile Arrest,Harford Hall at 7660  Regents  Dr
3988,2015-00046457,10/23/15 09:30,10/26/15 09:14,Theft,Suspended,Washington Hall at 4298  Lehigh  Rd
3989,2015-00046459,10/26/15 08:00,10/26/15 09:40,Theft,Active/Pending,"Eppley Recreation Center, ERC at 4128  Valley  Dr"
3990,2015-00046464,10/22/15 15:00,10/26/15 08:53,Theft,Suspended,Lot 16
3991,2015-00046465,10/26/15 11:31,10/26/15 11:31,Other Incident,Active/Pending,3600 block of  Campus Dr
3992,2015-00046471,10/23/15 15:50,10/26/15 14:20,Vandalism,Suspended,"Leonardtown #250, Leonardtown Community Center at 7559  Yale  Ave"
3993,2015-00046473,10/24/15 15:00,10/26/15 15:01,Hate Bias Incident,Unfounded,Commons 1 at 4250  Lehigh  Rd
3994,2015-00046477,10/24/15 16:00,10/26/15 15:58,Theft,Suspended,Van Munching Hall at 7699  Mowatt  Ln
3995,2015-00046526,10/26/15 11:20,10/26/15 21:02,Theft,Suspended,Denton Hall at 3854  Stadium  Dr
3996,2015-00046532,10/26/15 13:15,10/26/15 22:32,Theft,Suspended,Hagerstown Hall at 4000  Stadium  Dr
3997,2015-00046533,10/26/15 11:00,10/26/15 22:44,Vandalism,Suspended,Prince George's Hall at 7527  Calvert Service  Ln
3998,2015-00046683,10/27/15 17:10,10/27/15 17:10,Emergency Petition,CBE,Commons 1 at 4250  Lehigh  Rd
3999,2015-00046693,10/27/15 10:00,10/27/15 18:29,Assist Other Agency,CBE,"Cole Field House, Cole Student Activities Building, Driscoll Center at 4090  Union  Dr"
4000,2015-00046698,10/27/15 17:15,10/27/15 19:34,Theft,Suspended,"La Plata Hall, LaPlata hall at 4121  Farm  Dr"
4001,2015-00046706,10/27/15 22:20,10/27/15 22:20,Other Incident,CBE,Elkton Hall at 3981  Denton Service  Ln
4002,2015-00046711,10/27/15 23:07,10/27/15 23:07,Alcohol Violation,Arrest,Terrapin's Turf at 4410  Knox  Rd
4003,2015-00046717,10/27/15 22:00,10/28/15 00:08,Injured/Sick Person,CBE,Jimenez Hall at 4125 N Library  Ln
4004,2015-00046796,10/27/15 20:00,10/28/15 14:30,Vandalism,Suspended,"Graham Cracker, Lot 15"
4005,2015-00046804,10/26/15 20:30,10/28/15 15:54,Theft,Suspended,Cumberland Hall at 4145  Valley  Dr
4006,2015-00046825,10/25/15 02:00,10/28/15 18:07,Theft,Suspended,Anne Arundel Hall at 3915  Campus  Dr
4007,2015-00046829,10/27/15 19:30,10/28/15 18:56,Theft,Suspended,29  Lehigh  Rd
4008,2015-00046832,10/26/15 18:00,10/28/15 19:31,Vandalism,Suspended,"Graham Cracker, Lot 15"
4009,2015-00046876,10/29/15 00:35,10/29/15 00:35,Trespassing,Arrest,Van Munching Hall at 7699  Mowatt  Ln
4010,2015-00046993,07/10/15 15:00,10/29/15 16:19,Dept Property Damage/Loss,Active/Pending,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
4011,2015-00046996,10/29/15 16:00,10/29/15 17:10,Theft,Suspended,Health Center at 3983  Campus  Dr
4012,2015-00047065,10/30/15 00:36,10/30/15 00:36,DWI/DUI,Arrest,Campus S Dr
4013,2015-00047069,10/30/15 00:38,10/30/15 00:38,Injured/Sick Person,CBE,Baltimore  Ave
4014,2015-00047092,10/30/15 03:05,10/30/15 03:05,Injured/Sick Person,CBE,"Frat 2, Pi Kappa Alpha Fraternity at 2  Fraternity  Row"
4015,2015-00047093,10/30/15 03:13,10/30/15 03:13,DWI/DUI,Arrest,Baltimore  Ave
4016,2015-00047136,10/25/15 18:00,10/30/15 10:38,Burglary,Active/Pending,"Cole Field House, Cole Student Activities Building, Driscoll Center at 4090  Union  Dr"
4017,2015-00047138,10/29/15 19:00,10/30/15 11:15,Fraud,Suspended,Van Munching Hall at 7699  Mowatt  Ln
4018,2015-00047160,10/30/15 12:30,10/30/15 16:33,Burglary,Suspended,Elkton Hall at 3981  Denton Service  Ln
4019,2015-00047197,10/30/15 20:47,10/30/15 20:47,CDS Violation,Arrest,Hagerstown Hall at 4000  Stadium  Dr
4020,2015-00047222,10/31/15 00:35,10/31/15 00:35,Warrant/Summons Service,Arrest,190 block of  Paint Branch  Pkwy
4021,2015-00047227,10/31/15 00:40,10/31/15 00:40,Injured/Sick Person,CBE,Centreville Hall at 4243  Valley  Dr
4022,2015-00047232,10/31/15 01:11,10/31/15 01:11,Injured/Sick Person,CBE,"Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
4023,2015-00047234,10/31/15 01:25,10/31/15 01:25,CDS Violation,CBE,Ellicott Hall at 4052  Stadium  Dr
4024,2015-00047244,10/31/15 02:23,10/31/15 02:23,Emergency Petition,CBE,Montgomery Hall at 7570  Regents  Dr
4025,2015-00047246,10/31/15 02:58,10/31/15 02:58,Injured/Sick Person,CBE,Montgomery Hall at 7570  Regents  Dr
4026,2015-00047269,10/30/15 18:00,10/31/15 08:26,Vandalism,Suspended,Golf Course Club House at 3800  Golf Course  Rd
4027,2015-00047280,10/31/15 09:55,10/31/15 09:55,DWI/DUI,Arrest,Yale  Ave
